src,relation,Target,is_b,id(is_b)
188904760095,VIU,SFLL188995,IS_BUILDING,128728
188904750095,VIU,SFLL188995,IS_BUILDING,128728
188904740095,VIU,SFLL188995,IS_BUILDING,128728
188904730095,VIU,SFLL188995,IS_BUILDING,128728
188904720095,VIU,SFLL188995,IS_BUILDING,128728
188904710095,VIU,SFLL188995,IS_BUILDING,128728
188904700095,VIU,SFLL188995,IS_BUILDING,128728
188904840096,VIU,SFLL188996,IS_BUILDING,129054
188904830096,VIU,SFLL188996,IS_BUILDING,129054
188904820096,VIU,SFLL188996,IS_BUILDING,129054
188904810096,VIU,SFLL188996,IS_BUILDING,129054
188904800096,VIU,SFLL188996,IS_BUILDING,129054
188904790096,VIU,SFLL188996,IS_BUILDING,129054
188904780096,VIU,SFLL188996,IS_BUILDING,129054
188904890097,VIU,SFLL188997,IS_BUILDING,129055
188904880097,VIU,SFLL188997,IS_BUILDING,129055
188904870097,VIU,SFLL188997,IS_BUILDING,129055
188904860097,VIU,SFLL188997,IS_BUILDING,129055
188904850097,VIU,SFLL188997,IS_BUILDING,129055
188904920098,VIU,SFLL188998,IS_BUILDING,129056
188904910098,VIU,SFLL188998,IS_BUILDING,129056
188904900098,VIU,SFLL188998,IS_BUILDING,129056
188904980099,VIU,SFLL188999,IS_BUILDING,129058
188904970099,VIU,SFLL188999,IS_BUILDING,129058
188904960099,VIU,SFLL188999,IS_BUILDING,129058
